Perguntas,Tags
"Tenho um *ngFor que repete cards conforme o numero de variações:  CODE   ...  Dentro desse *ngFor eu tenho outro *ngFor que repete os atributos deste card:  CODE   Ou seja, tenho a variável ngFor i que é o index dos cards. Se eu tiver 2 cards, i = 1.  Tenho também a variável ngFor indexatributo que tem como valor o número de atributos de todos os cards. Se tiver 5 atributos, indexatributo = 4.  Estou tendo dificuldades em como posso fazer para dar um hidden na div do meus atributos quando não possuir nenhum atributo naquele card.  Para usar como auxiliar na condição, eu possuo o array listAtributos, que é composto da seguinte forma:  CODE   Onde o indexvariacaoatributo diz pra qual card aquele atributo pertente. Neste caso, o atributo ""azul e M"" pertencem ao card 0 e no outro card pertence Azul, G.  Alguém consegue pensar em alguma condição para que a segunda div seja mostrada apenas se possuir atributos destinados aquela div? ",angular 
"Gostaria de saber como executar uma função em JavaScript pegando seu nome no banco de dados. Exemplo:   CODE   Existe uma forma de fazer isso? Essa forma é errada? Se sim, como fazer?  OBS: O objetivo disso é fazer que quando eu compre uma carta e ela tiver uma função que deve acontecer de forma imediata, então chame a função que está salva no banco de dados. Como são muitas cartas, não é viável ficar fazendo um if para cada carta, já que são funções diferentes. ",jquery html  
Bom eu queria que quando o usuário fosse se cadastrar no sistema e se desse tudo certo aparecesse um modal dizendo que:      Usuário cadastrado com sucesso   se já existir a CODE  ou CODE  informado aparecera um modal com algo do tipo:      matricula ou email já existente   E se o usuário informa a senha vazias ou as senhas não corresponderem um modal com algo do tipo:      Senha não correspondem   CODE      O alert para informar se as senhas são iguais   CODE      código que eu queria reaproveitar   CODE      Formulário   CODE,html 
Tenho o seguinte mat-checkbox:  CODE   O segundo input (formControlNomeIdentificador) deve ser required se o checkbox for selecionado. Como posso fazer isso?  Esse é meu form builder:  CODE,angular 
"Tenho um campo de ""profissões"" que aparece dentro da tabela ""paciente"". O campo ""profissões"" é autocomplete com gen chosen. quero criar um botão ""nova profissão"" onde ao pesquisar na combobox e não achar  a profissão desejada, clica-se no botao nova profissão e abra um campo para entrar o novo dado. O problema é: ao clicar em salvar a tela não pode atualizar, somente a listagem de profissões no combobox. Consegui puxar o campo de profissoes dentro da tabela ""paciente"" mas quando clica em salvar, é redirecionado para /profissoes.  Estou utilizando o AJAX, JQuery e Rails 4.2.  CODE   Campo profissão no form.erb:  CODE   new.js.erb:  CODE  ",jquery 
"HTML:  CODE   CSS:  CODE   Javascript:  CODE   Todo o código está no mesmo arquvio.  Quando o assunto da tag  (ID: assunto) for ""outro"" ira surgir uma textarea pedindo para especificar melhor o assunto, e essa textarea (ID: tOutro) não está alinhada com a div.  Já tentei usar text-align: center; na tag mas não funcionou e estou sem ideias.  Caso queira testar para entender com mais facilidade o que estou dizendo:   https://repl.it/Hxbj  apenas coloque o assunto como outro para visualizar. ",html 
"Estou desenvolvendo uma aplicação com angular2 + angularfire2 + firebase, estou enfrentando dificuldades em implementar a autenticação, consegui fazer  o login e  o logout, porem quando a pagina é recarregada eu perco a autenticação.  Meu Seriço.  CODE   Meu Guard:  CODE   Eu dei uma olhada em problemas parecidos com o meu aqui no starckoverflow, tinham comentado em implementar o  firebase.auth().onAuthStateChanged porem nao entendi como implementa-lo. ",angular
"Tenho um formulário no qual é criado dinamicamente usando o método CODE . O resultado é algo nesse formato:  CODE   Acima seria basicamente um item do formulário, no qual é gerado uma lista de itens dinamicamente.   Abaixo, usando AJAX, é como pretendo gravar no banco de banco de dados, porém não sei com resgatar os valores do CODE . Veja:  CODE   Como resgatar valores dos CODE  dinâmicos (tanto checked quanto unchecked) no formulário usando o método CODE ? É possível? ",jquery 
"Gostaria da ajuda nesse pequeno problema, tenho que fazer um combobox mostra 5 estados sendo carregado por um array em javascript, meu código está assim.  HTML  CODE   Meu Javascript está assim  CODE   Debugando no console.log ele trás os resultados bonitinhos como deve ser. Mas na hora de printar o objeto ele trás o seguinte erro.     Uncaught TypeError: Cannot read property 'appendChild' of null.  ",html
"Bom a minha dúvida é a seguinte:  Eu tenho um formulário em HTML, que ao carregar em submit ele da-me um número aleatório de 1 a 5 em PHP. O que eu queria saber era, como poderia fazer para que com que clicasse no botão o PHP selecionava um dos números 1 a 5 aleatoriamente e depois enviava para uma simples roleta em javascript para mostrar o numero escolhido. Ou seja a roleta simulava que rodava e calhava no número escolhido. ",html
"Introdução  Estou desenvolvendo uma estrutura utilizando o AngularJS e RequireJS. Estou começando a estudar RequireJS e pesquisei bastante sobre ele, mas ainda não obtive algo claro dele utilizando com o AngularJS.  Github Code  Problema [ Resolvido ]  Estou com problema em minha dependência no arquivo CODE na linha 2. Removendo a dependência do angular CODE  ele funciona perfeitamente. Caso tenham alguma critica para melhorar essa estrutura podem falar.   Solução  Alterei de CODE  para CODE  em CODE   Problema 2 [ Update ]  Agora com o problema da dependencia solucionada, meu proejto as vezes funciona a chamada do controller e as vezes apenas trava antes. Peço por gentileza que clonem o repositorio e testem e vejam que CODE  ele irá funcionar.   Problema 2 [ Update 2 ]  O problema está somente no google-chrome. no firefox ele roda redondo. ",angular
"Estou com um problema utilizando CODE  numa máscara de data que é o seguinte: quando tento utilizar o backspace para modificar a data, não consigo passar da barra (só se  mantenho o botão pressionado). A barra fica desaparecendo e aparecendo (faça o teste aqui no fiddle, ou abaixo em ""Executar trecho de código"", digite uma data qualquer e depois tente apagar).   Isso só acontece se estou utilizando CODE , com CODE  fica normal (mas tenho que usar CODE , porque serve também pra habilitar um botão se a data validar, e tem que ser ao acabar de digitar, e não ao perder o foco...).      CODE   CODE         Tem jeito? ",html
Criei este FIDDLE como teste.  Tenho esta CODE  dentro de uma variável e pretendo adicionar a classe CODE  a essa mesma CODE   CODE   O meu problema é que o CODE  dá-me sempre NULL e depois quando tento adicionar a classe dá-me o erro:,jquery html
"Cada vez mais, eu encontro artigos (em inglês ou em português) que falam disso... Eu faço mal por continuar a utilizar o CODE  nos websites? O que tem de errado com ele? Existe algum outro CODE  (ou CODE ) que eu deva aprender para deixá-lo de lado? Este site mostra que eu talvez não precise utilizar CODE  nos projetos Mas... por que eu realmente deveria? ",jquery
"Pessoal estou tentando criar em uma imagem de um produto vários pontos de interesse, quando a pessoa clicar em um desses pontos se abrirá uma tooltip com as informações necessárias.  Eu já criei as coordenadas usando uma ferramente online (https://www.image-map.net/) e até aí tudo bem, tudo funcionando, quando eu clico abre o link ou aparece o title que eu setei. Só que eu quero que fique em ""ícone"" de (+) em cada área de interesse e isso eu não sei fazer.   Meu código está assim até agora:      CODE         Tem algum modo que eu possa inserir tais customizações na area? E como eu triggo isso com o click para abrir a tooltip? Eu estava pensando em fazer usando jQeury, mas estou aberto a sugestões!  Um exemplo de como eu queria é este: https://hypebeast.com/2016/1/essentials-dolly-cohen-celebrity-grill-maker   Obrigado! ",jquery html 
"Estou a tentar fazer um fullscreen scrolling website. Ou seja, não quero que o scroll pare a meio de uma secção mas que identifique se vem de baixo ou de cima e faça uma animação para o topo da respectiva secção. Tenho o seguinte código contudo, parece que o scroll da animação (scrollTop) entra em conflito com o scroll da página e não consigo sair da secção 1.      CODE   CODE   CODE        ",jquery html
"Tenho uma tabela que vai adicionando de acordo com o usuário, ou seja ele pode inserir ou excluir a linha da tabela a qualquer momento, e eu queria um código que somasse uma determinada coluna (no caso ela soma todos os valores dos produtos e me informa o valor total da compra).      CODE   CODE        ",jquery
"então, eu estou tentando fazer um app com angular 5 usando auth com token. Pra isso, no login, eu preciso fazer um post na minha API (que testei pelo postman e está funcionando), mas estou com dificuldades em fazer isso com o angular. Meu código é o seguinte:   CODE   Como eu sou novo no angular 5, não consegui debugar ele direito, ele não entra no .map e não consigo pegar alguma exception pra entender o q está errado.  Poderiam me ajudar? ",angular 
"Pessoal como faço para pegar o id de um input criado a partir de um Json com o plugin Jsonforms documentação aqui. Ele utiliza Schemas e Forms para montar o html dinamicamente, porém não estou conseguindo trabalhar com os id dos input, preciso validar os campos com o evento blur. Segue um exemplo de um schema criado:  CODE  ",html 
"Estou tentando validar um input de um formulário simples, estou iniciando com Angular 4 e em meu projeto, dentro de um component a validação ""required"" do HTML5 para de funcionar. O formulário esta carregando corretamente na tela e tudo funciona, menos a validação do form.  estou usando para o layout o ""Materialize-css"".  Index.html:  CODE   app-root:  CODE   setor-component:  CODE  ",html angular
"Olá, Estou precisando pegar um elemento no HTML depois de um ng-repeat, para aplicar comandos de CSS na div no qual depende do resultado que vier do banco de dados. Por enquanto eu apenas consigo pegar esse elemento, porém é aplicado o Style apenas no primeiro item do repeat, e eu preciso aplicar nos demais também com diferentes Style's. Tem alguma maneira melhor de pegar esse elemento através de um index?   Código HTML:   CODE   Código JavaScript  CODE   O que eu preciso fazer é basicamente pegar esse id do ""Agendamento"" junto com algum index que retorna da tabela no HTML, de forma que eu consiga fazer o for rodar. Alguém sabe alguma forma de usar esse getElementById funcionando dessa maneira? Ou alguma maneira melhor de fazer o que eu quero de formas diferente? ",html angular
"Olá.   Tenho o seguinte código: JsFiddle   Nele eu tenho 6 checkbox de 0 a 5 estrelas, e quando clico em um checkbox ele filtra um json exibindo o hotel que tem tal estrela ate ai tudo bem. O problema vem quando seleciono mais de 1 estrela. Ex: Se eu selecionar 1 estrela, 4 estrelas e 0 estrelas preciso que me retorne todos os hoteis que tem 1, 4 e 0 estrelas.  E supondo que os checkbox 1, 4 e 0 estejam selecionados, e se eu desmarcar o 0 preciso que so retorno os hoteis com 1 e 4 estrelas. E assim por diante.  Alguem saberia como posso resolver isso?  ",jquery 
"Sem muita enrolação, estou preso no seguinte problema:  Tenho o seguinte código JS:  CODE   O meu problema está no botão dentro do append, eu preciso passar esse parâmetro 'item' como parâmetro pra outra função, pra pegar os dados desse item e fazer algo com eles, porém, ao clicar, o console acusa      Uncaught SyntaxError: Unexpected identifier   com uma página em branco. Acredito que seja algum erro com as aspas, mas não consegui identificar, alguém tem alguma ideia do que fazer? Obrigado! ",html
O efeito parallax.js (http://pixelcog.github.io/parallax.js/) só funciona para navegadores desktop.  Algo pode ser feito para que o efeito seja visível em dispositivos móveis?  Estou usando as classes e os atributos padrões:       CODE,jquery
"Estou tentando montar esse array associativo, no caso do combobox for o estado de São Paulo, tem que mostrar 5 cidades de São Paulo, se for Rio de Janeiro, mostra as 5 cidades do Rio de Janeiro.  HTML  CODE   Javascript  CODE   No código a seguir ele trás todos os estados, até aqui tudo bem.  CODE   Retornando perfeitamente os estados no combobox. O que eu quero agora é que quando eu selecionar o estado mostre as cidades no outro combobox, quando for o Rio ele mostre as cidades do Rio e quando Selecionar São Paulo mostre as cidades de São Paulo. Então fiz isso, porém não retorna nada  Javascript  CODE   Aproveitei a variável select, se ela existir entra no if, porém a variável selectedText que fiz para receber o valor do combobox do estado ela retorna vazia. Antes eu tinha deixando dentro do for, ai repetia o campo vazio 5 vezes, tirei de dentro do for ele repete um vez mas ainda sim vazio.  Desde já agradeço qualquer ajuda. ",html
"Tenho um objeto que indica que a página está sendo carregada. Porém, não está funcionando da forma correta, segue código:  HTML:  CODE   JS:  CODE   Percebam que caregando inicia como TRUE para que logo apareça o spinner, depois de 3 segundos seu status é alterado para FALSE, fazendo com que assim desapareça o spinner e apareça o conteúdo. Em partes esta funcionando. O que está errado é que quando a página começa a carregar, os dois aparecem juntos (durante alguns milésimos de segundo), não respeitando o ng-if, conforme imagem abaixo:    Outra dúvida, como eu poderia fazer para sumir o spinner e mostrar o conteúdo somente quando a página estiver totalmente carregada?  ",html angular
"Preciso fazer um JavaScript para uma aplicação que verifique se o bloqueador de popup está ativo. Tenho o seguinte código:  CODE   Porém, queria algo que não abrisse uma aba pra fazer essa verificação, pois a cada vez que acionar esse método, se tiver liberado o popup, vai abrir uma nova aba pro usuário.  ",jquery 
"Num handler de evento do jQuery, pode-se usar CODE , CODE  e CODE  (ou combinações desses) para ""cancelar a ação"" do evento.  Sei que tem diferença no comportamento deles, mas sinceramente sempre que preciso fazer algo do tipo, começo com CODE  e vou na tentativa e erro, porque ainda não compreendo muito bem a diferença.  Já li em algum lugar que CODE  é a mesma coisa que acionar CODE  e CODE  ambos e já li gente dizendo que não é bem assim.  Alguém pode explicar melhor como devo fazer pra decidir qual desses caras eu preciso, com exemplos? ",jquery
Tenho um arquivo json que em seu conteúdo ele contém parágrafos. Esses parágrafos são separados por CODE  mas quando eu insiro o conteúdo os parágrafos não são separados e ao invés de quebra de linha eu tenho um espaço na CODE . Ao meu ver a minha solução seria converter os CODE  em quebras de linha que o CODE  entende (CODE  ou CODE ). Qual o método mais correto a ser usado?,html 
"Qual é a melhor maneira de chamar um elemento que tem parênteses retos no nome, usando jQuery?.  HTML  CODE   jQuery  CODE  ",jquery
Estou construindo um website para ser hospedado em um servidor que não tem suporte a PHP ou outra linguagem server-side.    Preciso enviar os valores de um formulário de contato por e-mail e meus recursos são apenas HTML5 e JavaScript.    Existe alguma forma de fazer este envio?,html
"A ideia inicial do meu projeto pessoal era desenvolver um sistema básico para realizar a divisão de pagamento entre n clientes que consumiram n produtos, com o intuito de treinar minha habilidades.  Para isso, a ideia central seria alimentar dois blocos simples de input, sendo um para os clientes e outro para os produtos (com os preços), criando uma lista para o primeiro e outra lista para o segundo. É possível ver nos códigos que a maior parte do sistema já foi feito com as duas funções principais:  HTML      CODE   CODE         A questão neste caso é ""simples"": Eu consigo obter o valor que deve ser pago por cada um através da variável ""valorDividido"", mas não consigo inserir este valor na lista dos clientes, uma vez que não é possível acessar o ""areaDoValorDividido"", pois esta é uma variável presente apenas na outra função.  Sendo assim, eu queria saber se há alguma forma de inserir um comando na função ""addProdutoFunction()"" que altere algum conteúdo presente unicamente na função ""addClienteFunction()"". ",html
"Estou com um problema ao tentar fazer uma requisição através da api text-to-speech, ao tentar fazer a requisição ele dá o seguinte erro:  CODE   Meu código JS  CODE   Meu código HTML  CODE  ",jquery
"Tenho o seguinte form group:  CODE   Esse form group possui um controle chamado CODE .  Preciso adicionar um array nesse controle em um determinado indice passado como parâmetro na minha função, o problema é que a variável que eu uso pra fazer o push (this.listAtributos) fica se acumulando e quando troca o indice ela adiciona para o outro indice o array que só deveria ser adicionado naquele indice.  CODE   Essa é minha função. Eu possuo o seguinte cenário:  Tenho uma variação e nela pode ter x atributos; A variável this.listAtributos vai incrementando os atributos e depois adiciona naquele index passado no parâmetro.  O problema é que quando troca o index, o array listAtributos deveria ser zerado. Porém não consigo pensar em uma forma de como fazer isso.  @Edit:  Tentei algo como:  CODE   porém ainda não consegui acertar a lógica ",angular 
"  Quero fazer uma aplicação com seguintes definições, uma tela(responsiva),com uma lista de títulos para vídeo aula á direita, e é preciso ter scroll,sempre que coloco o scroll nesse elemento, não fica como gostaria, pois o Height 100% não pega a resolução.  CODE  ",jquery
"Tenho um sistema que atualmente funciona com a api do google maps, mas percebi que o site fica aguardando essa API ser carregada para então terminar de carregar a pagina.  na pagina inicial(index.php) tenho a tag assim:  CODE   Eu não uso o google maps no index.php, só é feito dessa maneira, porque depois que a página é carregada o usuário clica em um botão que faz um load para a carregar o mapa assim:  CODE   Quando essa tag script do google é colocada dentro desse arquivo veiculoDescarga.php a api não funciona não carrega as demais dependências dela.  CODE   Alguém sabe se é possível fazer essa API funcionar após fazer o $.load() ou o onload ?  Edit 01 Para exemplificar melhor vou deixar as imagens abaixo com as explicações:  Na imagem abaixo a tag do googleapis é roda normalmente veja que esta única tag faz a chamada buscando as demais tags de dependencia e as inseri, este caso esta ok.   Mas eu não quero que ela seja carregada ai de inicio, eu quero que seja carregado essa tag do googleapis quando eu chamar o evento .load() do jQuery, mas veja que quando faço isso a tag é carregada mas não faz as chamada das demais dependencias  ",jquery html
Ola boa atarde a todos gostaria que esse código fizesse sequencia apos um 1 video automaticamente ir para o segundo alguém pode me ajudar `  CODE,html
"Recebo uma string tipo : R$10,00, queria mudar para 10.00 para poder fazer calculo, tentei o códio abaixo, mas não deu certo.  CODE  ",jquery html
"Olá, Dentro de um formulário tenho 4 combos  CODE   Quando algum combo for selecionado preciso saber dentre esses quatros, qual foi o selecionado (se foi o 1 ou 2 ou 3 ou 4) e pegar o valor do combo selecionado.   Obrigado. ",jquery
"Olá!  Estou utilizando o componete p-calendar do primeng e setando o locale dele para pt conforme abaixo:  CODE   E no typescript deste componente está configurados os valores para pt :  CODE   Está funcionando corretamente, só que em todos componentes que vou usar preciso por esta configuração.  Gostaria de saber como usar colocando está configuração em um só local e usar no programa todo.  Aqui meu package.json      CODE         Se alguém poder me dar uma ideia. Agradeço. ",angular
"No código abaixo pego os valores armazenados em vários CODE  com o uso da função CODE . Mas gostaria de fazer o mesmo de outr forma, utilizando um CODE .  É possível pegar esses valores fazendo uma varredura com um CODE , como devo fazer?  CODE  ",jquery html
Gostaria que o bg de minha section tivesse um certo delay na velocidade da rolagem para se diferenciar da rolagem padrão da página. Alguém sabe como posso fazer?,html 
Quais a melhores ferramentas para serem utilizadas na depuração de aplicações node na opinião de vocês?,node.js
"Eu estou programando pra web não faz muito tempo, e eu não consigo tirar uma seleção que fica quando eu clico?Alguém sabe como tirar?   ",jquery html
"To com uma dúvida bem grande, eu tenho uma função que faz cálculos de métricas de usuários e quero colocar ela em uma função express para poder retornar um JSON e usar ela em uma rota, Segue o código para usar nas rotas:  CODE   Quero colocar uma função de cálculo dentro dela para ter um retorno JSON. ",node.js
"CODE   Estou tentando criar uma funcao para adicionar um formulario dinâmico, porém o attr(""id"") fica dando um erro.     ""inputs[i].attr is not function"".  Alguem poderia me ajudar a resolver este problema? ",jquery
"Ao fazer um cadastro utilizando ajax, o success não executa os comandos de dentro do mesmo, ao analisar o codigo reparei que existe um /ufeff no valor retornado pelo php e acho que isso que esta causando o erro.  Codigo php:  CODE   Ajax:  CODE   como posso remover o /ufeff ? ",jquery html 
"Bom, comecei a estudar Angular (2 e 4) e fiquei meio perdido em alguns momentos, o ""component"" tão citado como algo essencial me confundia bastante. Afinal qual o conceito ou o que é um component? ",angular
"Ao fazer uma requisição CODE  numa url que não suporta CODE  o navegador me retorna:     405 Method Not Allowed   Existe alguma forma de impedir, no meu código JavaScript, que o navegador envie um pré-request CODE  antes de enviar um CODE ? ",jquery 
"Simplesmente é mover a div em direção ao valor do degress.  Fiz vários modos, mas não consigo. Um código que estou tentando: http://codepen.io/duduindo/pen/eNEobG  ""Alguém tem alguma luz/solução para este problema?!""  Sinalização/Exemplo abaixo:   Obrigado! ",html 
"Eu estou fazendo um formulário, e não encontrei nada parecido nas pesquisas que fiz.  Eu tenho o código http://jsfiddle.net/rubensoul/xdmz35oy/3/ estou conseguindo popular eles normalmente,  Ao selecionar uma data ele popula a região, ao popular a região popula um profissional, e ao popular o profissional, ele popula o horário.  No entanto, preciso que selecionar um checkbox de 'tipo de exame complementar', ele traga informação do JSON de profissional e também de checkbox para o select de horário. O que eu preciso é criar uma array que tenha os dois ids, tanto profissional quanto checkbox, em horário.   eu preciso então, que os 2 parametros (profissional e (tipo de exame) fossem enviados para a mesma array, e voltasse para o select (horarios) estou usando um switch case de json  Tenho que passar o parâmetro de checkbox e ele interagir com o array de profissional, e atualizar o horario, é basicamente isso   CODE   // chamada para checkbox  CODE   Como posso fazer essa mudança no array para receber os 2 paramêtros?    Será que alguém pode me ajudar? Desde já agradeço. ",html 
"Tenho o seguinte código:  http://jsfiddle.net/56bv52us/  O que estou a tentar fazer é a mensagem aparecer sempre, ou seja, não é preciso passar o rato por cima para a mensagem aparecer, ela está sempre presente. É possível fazer isso?  Estou a usar esta toolkip: http://jqueryui.com/tooltip/ ",jquery html
"Então pessoal.. sei que o código abaixo esta bem desnecessário, mas eu apenas preciso saber de uma coisas, na verdade uma resposta...   O código abaixo em meu site serve para ficar fazendo refresh em um ícone de atualização em que aparece o número de quantidade de notificações caso algum usuário amigo tenha curtido ou comentado algo seu, como o Facebook. Porém, acredito que a cada refresh esta abrindo outra porta, porque na estatística do site mostra que esta tendo 1900000 de visualizações por dia o que acaba aumentando o tráfego do site parando com o servidor.  Então a pergunta: esse CODE  com um CODE  que busca uma pesquisa no arquivo CODE  a cada refresh em tempo de meio segundo '1000', é ruim para o site?      CODE        ",jquery
"Tenho essa função que sobrescreve todos os meus alerts nativos do JS, porém o sweetAlert não dá o CODE  automaticamente, e isso faz com que as proximas linhas de código sejam executadas imediatamente após o alert ser mostrado. Tem algum jeito de pegar o CODE  e dar um CODE  sem mudar a assinatura do método para passar o event?  CODE   Explicando melhor: ao terminar uma função PHP eu retorno um CODE  por exemplo, e depois redireciono para outra página. Com o alert nativo ele espera que eu clique em OK para direcionar. Agora com essa função que criei, ele mostra o alert e já redireciona logo em seguida. ",jquery
"Fala galera, bom dia, to precisando de uma ajuda com um dropdown. a cada doação no banco de dados eu tenho um botão que se clico aparece os itens que foram doados.  estou com a seguinte linha de código:  user-donation.js  CODE   user-donations.js  CODE   Porém quando eu clico em qualquer um dos CODE  eu mostro os itens de todas as doações e não só a que eu quero.  Alguém será q consegue me ajudar ? ",html 
"Estou fazendo um teste de pathfinding em jquery com JS, e dei uma empacada forte. Procurei vários lugares, mas não estou conseguindo raciocinar como iniciar a leitura dos ""vizinhos"" para fazer uma linha entre a ""Origem"" (quadrado onde o usuário clica) e o destino (quadrado[14,15])    Até consigo fazer com que a área seja mapeada, mas não entendo como ""sondar os vizinhos"" para saber o melhor caminho.   Aí vai o código:      CODE   CODE   CODE        ",jquery
Boa Noite pessoal.  Quero uma regra feita através de javascrit/Jquery que me faça o seguinte:Se o input com ID='A' estiver (DENTRO) da div com ID='B' faça algo...Ou seja quero saber quando um elemento está dentro de uma determinada div eu consiga fazer uma determinada ação.,jquery html
"Eu tenho uma View com dropDowlist que contem dados que vem do banco e logo em baixo coloquei um buttom que quando eu clicar vai anexar o item selecionado do dropdownlist em uma  lista, eu fiz um código aqui mas não está anexando, se eu colocar valores predefinidos funciona, mas os valores da dropDowlist não.  javascript  CODE   Na minha view  CODE   Lista onde sera anexado o valor selecionado  CODE  ",jquery
